terms,TF,term_no_docs,IDF,Stemmed-words\afan_oromo__stemmed__.txt,weight___Stemmed-words\afan_oromo__stemmed__.txt,Stemmed-words\world_cup__stemmed__.txt,weight___Stemmed-words\world_cup__stemmed__.txt,Stemmed-words\Eclipse_Foundation__stemmed__.txt,weight___Stemmed-words\Eclipse_Foundation__stemmed__.txt,Stemmed-words\computerANDphone__stemmed__.txt,weight___Stemmed-words\computerANDphone__stemmed__.txt,Stemmed-words\computerANDphone__stemmed__.txt,weight___Stemmed-words\computerANDphone__stemmed__.txt,Stemmed-words\About_Ethiopia__sample_1__stemmed__.txt,weight___Stemmed-words\About_Ethiopia__sample_1__stemmed__.txt
phrase,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
id,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
18.wobbrock,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
character,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
eye-track,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
tesfay,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
alphabet),3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
text,61,4,0.22314355131420976,32,7.1405936420547125,0,0.0,23,5.132301680226824,3,0.6694306539426294,3,0.6694306539426294,0,0
spell,10,1,1.6094379124341003,10,16.094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
ai,9,3,0.5108256237659907,1,0.5108256237659907,0,0.0,0,0.0,4,2.043302495063963,4,2.043302495063963,0,0
algorithm,9,1,1.6094379124341003,9,14.484941211906902,0,0.0,0,0.0,0,0.0,0,0.0,0,0
seerluga,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
phone,31,3,0.5108256237659907,3,1.5324768712979722,0,0.0,0,0.0,14,7.1515587327238705,14,7.1515587327238705,0,0
(3),2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
easili,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
mother,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
featur,6,4,0.22314355131420976,1,0.22314355131420976,1,0.22314355131420976,0,0.0,2,0.44628710262841953,2,0.44628710262841953,0,0
review,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
cluster,5,3,0.5108256237659907,3,1.5324768712979722,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
oromiffaa,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
16],1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
ababa,7,2,0.9162907318741551,1,0.9162907318741551,0,0.0,0,0.0,0,0.0,0,0.0,6,5.497744391244931
case,12,3,0.5108256237659907,4,2.043302495063963,1,0.5108256237659907,7,3.5757793663619353,0,0.0,0,0.0,0,0
process,16,4,0.22314355131420976,9,2.008291961827888,0,0.0,1,0.22314355131420976,3,0.6694306539426294,3,0.6694306539426294,0,0
recogn,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
subject-object-verb,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(call,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
acm,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
%,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
method:,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
